wavelengths, sensitivities
360, 0.0
370, 2.0203903694126404
380, 2.2718954492435133
390, 2.4651260445416114
400, 2.6113656901994644
410, 2.6224033277906464
420, 2.5881759484139653
430, 2.621814345071013
440, 2.64369028657807
450, 2.588138683510714
460, 2.6444080836226296
470, 2.6698477474669957
480, 2.291068331492546
490, 1.550168473321166
500, 1.1285515139630369
510, 0.7063968000335636
520, 0.3082165464990769
530, 0.0
540, 0.0
550, 0.0
560, 0.0
570, 0.0
580, 0.0
590, 0.0
600, 0.0
610, 0.0
620, 0.0
630, 0.0
640, 0.0
650, 0.0
660, 0.0
670, 0.0
680, 0.0
690, 0.0
700, 0.0
710, 0.0
720, 0.0
730, 0.0
740, 0.0
750, 0.0
760, 0.0



